StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_10_TEXT,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_12_TEXT,Q4_1,Q4_2,Q4_3,Q4_4,Q24,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q6_18,Q6_19,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q8_16,Q8_17,Q8_18,Q8_19,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_6_TEXT,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_8_TEXT,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q14_11_TEXT,Q16,Q17_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q21_11,Q21_12,Q21_13,Q21_13_TEXT,Q23,Q22
2026-01-28 12:14:07,2026-01-28 12:28:16,IP Address,100,849,True,2026-01-28 12:28:17,R_6Dh3ZlYSgw4BgKl,anonymous,EN,,,,,,,Non-Profit,,,,,4-7 years,,Public health,Climate change/adaptation,Social/environmental justice,,,,Air quality,,,,,,Local,Regional,National,International,"'-through my job: regional, national and international (many different countries; we have a global dataset that have various users)
-through my volunteer work - it's in the cities/state I've lived in (Bloomington and Fort Wayne, Indiana)",tangible results and not one-off projects; things that result in policy or policy conversations.,Extremely important,Extremely important,Very important,Very important,Extremely important,Very important,Moderately important,Moderately important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Research directly influences policy or management decisions,,,,Project secures sustained funding,,,,,,,,,,,,,,Community members' viewpoints and perspectives are integrated into the project,,Policies become put in place,"Regular scheduled meetings (weekly, monthly, etc.)",Email updates and correspondence,,"Collaborative platforms (Slack, Teams, shared documents)",,,,,Email updates,"Shared cloud storage (Google Drive, Dropbox, etc.)",,Regular meetings/presentations,Written reports,,,,6 months to 1 year,Community members/residents,Academic researchers,Government agencies (local),Government agencies (state/federal),Non-profit organizations,,,Private sector/industry,Consultants,,,,"trackable and actors have a sense of accomplishment with the results. ",4,Insufficient funding,,,,,Misaligned timelines between stakeholders,,,Policy or legal limitations,Lack of technical capacity,Insufficient time,,Other (please specify),stakeholders are passionate but spread very thin; they are doing it as a volunteer but have other priorities as well,"https://ambassadors.openaq.org/
https://www.youtube.com/watch?v=Kk1rJJ5Bdio
https://www.youtube.com/watch?v=CbkX8EoRaPo
https://www.youtube.com/watch?v=Ar4OabsdWdI
https://thrivingearthexchange.org/project/madison-al/
https://thrivingearthexchange.org/projects/?3494300366=12820

Basically - if the projects are time-bound and have nuclear funding, that is enough motivation for the actors to finish a small-scale project. Then, they find motivation to continue looking for funding, or move forward with the project because they already have established the relationships with their stakeholders.

What hasn't worked in general is that when it is a volunteer-led effort and those who are passionate volunteers also tend to live rich lives full of other priorities (family, day job, etc) :-) so it could be difficult to find time with them and things move quite slow. In other cases, actors tend to become self-serving and the volunteerism/engagement is more of a career move; so when their engagement is over and a project is done, they are ready to move on to a different career-building move. 
",
2026-01-28 12:27:32,2026-01-28 12:40:16,IP Address,100,763,True,2026-01-28 12:40:16,R_7vexyyI0GwfNoR5,anonymous,EN,,,,,,,,Student,,,,1-3 years,,,Climate change/adaptation,,,Agriculture/food systems,,,,,,,,Local,,,,Santa Barbara,,Moderately important,Moderately important,Moderately important,Very important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Very important,Extremely important,Very important,Moderately important,Moderately important,Very important,Very important,Moderately important,Very important,Very important,,,,,,,,,,,,,,,,,,,,,Content of the community,,Email updates and correspondence,,"Collaborative platforms (Slack, Teams, shared documents)",,,,Online portals/dashboards,Email updates,,"Data repositories (e.g., GitHub, institutional repositories)",,,,,,It varies by project,Community members/residents,Academic researchers,,Government agencies (state/federal),,,K-12 educators,,,,,,"Information that provides insight into future actions (profit, quality, and catch rate of aquaculture species)",3,Insufficient funding,,,,Data quality or availability issues,,,,Policy or legal limitations,,Insufficient time,,,,,
2026-01-28 13:17:24,2026-01-28 13:30:17,IP Address,100,773,True,2026-01-28 13:30:18,R_3aK4FoqFD9pGizG,anonymous,EN,Academic,,,,,,,,,,,4-7 years,Environmental conservation/restoration,,Climate change/adaptation,Social/environmental justice,Education,Agriculture/food systems,Water quality/management,,Biodiversity/wildlife,Urban planning,,,,Local,Regional,National,International,"Kenya, Fort Collins, Colorado, United States, Honduras","All stakeholders are happy and satisfied with the project progress, outcomes and collaboration. The collaboration is sustained beyond initial project.",Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,Not at all important,Slightly important,Slightly important,Very important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Very important,Moderately important,Moderately important,Extremely important,,,,Trust is built between communities and institutions,,,,,,,Active collaboration with community members throughout the project lifecycle,,,,"Partnerships are equitable, collaborative, empowering, and address social inequalities",,,,,,Satisfaction of all stakeholders,,Email updates and correspondence,,"Collaborative platforms (Slack, Teams, shared documents)",In-person meetings or site visits,,,Online portals/dashboards,,"Shared cloud storage (Google Drive, Dropbox, etc.)","Data repositories (e.g., GitHub, institutional repositories)",,,,,,More than 3 years,,Academic researchers,Government agencies (local),Government agencies (state/federal),,,,,,,Other (please specify),Grassroots organization,"Influence policy, quantifiable impact, influence management decisions",3,Insufficient funding,,,Insufficient community buy-in,Data quality or availability issues,,,,,,Insufficient time,Competing priorities,,,"I have a project studying prison environmental injustice in the U.S. From the start of the project (in collaboration with researchers from MIT), a grassroots organization called The Campaign to Fight Toxic Prisons has been involved from the initial grant proposal writing stage and had a representative as a Co-PI on the project. This co-development of datasets and an interactive web application has resulted in deliverables that the organizations and community can actually use and need to carry out their efforts.",
2026-01-28 13:36:32,2026-01-28 13:41:38,IP Address,100,305,True,2026-01-28 13:41:38,R_3esp4Cs5lmgRken,anonymous,EN,,,,Government,,,,,,,,1-3 years,Environmental conservation/restoration,,,,,,,,,,,,,,Regional,,,Pacific Northwest and West Coast,"Gaining trust and support from the locals who rely on the outcome ",Extremely important,Very important,Moderately important,Very important,Moderately important,Very important,Slightly important,Very important,Moderately important,Moderately important,Extremely important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,,,,,,,,,,,Active collaboration with community members throughout the project lifecycle,,,,,,,,,,"engagement ",,Email updates and correspondence,"Informal/flexible check-ins (calls, messages as needed)",,,,,Online portals/dashboards,,,"Data repositories (e.g., GitHub, institutional repositories)",,,,,,6 months to 1 year,Community members/residents,Academic researchers,,Government agencies (state/federal),,,,,,,,,Make a tangible change in the surrounding community,,Insufficient funding,Poor communication between stakeholders,Lack of trust among partners,,,,,,,Lack of technical capacity,,,,,,
2026-01-28 12:03:00,2026-01-28 13:57:45,IP Address,100,6885,True,2026-01-28 13:57:46,R_5Ck5qDDvcluR4e5,anonymous,EN,,,,,,,Non-Profit,Student,,,,1-3 years,Environmental conservation/restoration,,Climate change/adaptation,Social/environmental justice,Education,,,,,,Disaster preparedness/response,,,Local,Regional,,,Gulf Coast (Texas to Florida),"Sustainability (is it able to continue in the long term?); Community impact (has it had a positive impact on the community, whether through education, policy, restoration, etc.)",Very important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Slightly important,Slightly important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,Trust is built between communities and institutions,,,,,,,,,Community maintains ownership of data and findings,,"Partnerships are equitable, collaborative, empowering, and address social inequalities",,,,,,Sustainability,"Regular scheduled meetings (weekly, monthly, etc.)",Email updates and correspondence,,"Collaborative platforms (Slack, Teams, shared documents)",,,,Online portals/dashboards,,,"Data repositories (e.g., GitHub, institutional repositories)",Regular meetings/presentations,,Interactive workshops,,,It varies by project,Community members/residents,Academic researchers,,,Non-profit organizations,,K-12 educators,,,,,,,,Insufficient funding,,,,Data quality or availability issues,,,,,,Insufficient time,,,,,
2026-01-28 13:58:39,2026-01-28 14:02:46,IP Address,100,246,True,2026-01-28 14:02:46,R_5M4qEJSXVXWX9O5,anonymous,EN,Academic,,,,,,,,,,,4-7 years,,Public health,,Social/environmental justice,,,,,,Urban planning,,,,Local,,National,International,"Nairobi, Denver, Cambridge MA","Community aims are achieved ",Extremely important,Extremely important,Very important,Extremely important,Moderately important,Extremely important,Moderately important,Not at all important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Research directly influences policy or management decisions,Results lead to measurable environmental improvements,,Trust is built between communities and institutions,,,,,,,,,,,,,,,,,Measurable outcomes,,,"Informal/flexible check-ins (calls, messages as needed)",,,,,,,,,Regular meetings/presentations,,,,,2-3 years,,,Government agencies (local),Government agencies (state/federal),Non-profit organizations,,,,,,,,Air quality reduces,3,,,,,,,,Power imbalances between stakeholders,Policy or legal limitations,,,,,,,
2026-01-28 13:34:04,2026-01-28 14:08:57,IP Address,100,2092,True,2026-01-28 14:08:57,R_5Y8fcdzYBvrrDjz,anonymous,EN,Academic,,,,,,,,,,,8-15 year,Environmental conservation/restoration,Public health,Climate change/adaptation,Social/environmental justice,Education,,,,,Urban planning,,,,Local,Regional,,,"St. Louis, Peru, San Antonio",Success is based on if the community partner is happy with what has been done or the deliverables.,Extremely important,Very important,Extremely important,Extremely important,Moderately important,Extremely important,Not at all important,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Extremely important,Extremely important,Research directly influences policy or management decisions,,,,,Findings are accessible and usable by non-scientists,,,,,Active collaboration with community members throughout the project lifecycle,,,,,,,,,The community members or organizations must be satisfied with what is being done.,Satisfaction of the community member with the work being done.,"Regular scheduled meetings (weekly, monthly, etc.)",Email updates and correspondence,"Informal/flexible check-ins (calls, messages as needed)",,,,,,Email updates,,,,,,,,It varies by project,,,,,Non-profit organizations,,,,,,,,Can the community partner used what was produced?,4,Insufficient funding,Poor communication between stakeholders,,,Data quality or availability issues,,,,,,,,,,Coming up with a user guide for a GIS model that was created for the international potato center to look for suitable areas to grow potatoes in the Parque de la Papa. It's important to give organizations documentation which explains the processes that were used so they can reproduce them.,You should incorporate more of the community partners perspective when working with a group. This can be talked about through correspondence and feedback received from the partner.
2026-01-28 13:34:28,2026-01-28 14:14:24,IP Address,100,2395,True,2026-01-28 14:14:25,R_177z1y7wOt8fEJz,anonymous,EN,Academic,,,,,Industry,,,,,,1-3 years,,,,Social/environmental justice,,,,Air quality,,,,,,Local,Regional,National,International,"United States cities; Houston, Texas; Dakar, Senegal; Manila, Philippines; Bangkok, Thailand; Seoul, Korea; Los Angeles, CA",Working with the community throughout the development of the project,Slightly important,Slightly important,Slightly important,Extremely important,Very important,Very important,Slightly important,Moderately important,Slightly important,Slightly important,Very important,Extremely important,Extremely important,Very important,Extremely important,Very important,Very important,Very important,Very important,,,,Trust is built between communities and institutions,,,,,,,,,Community maintains ownership of data and findings,,"Partnerships are equitable, collaborative, empowering, and address social inequalities",,,,,,,,,,,In-person meetings or site visits,,,,,,"Data repositories (e.g., GitHub, institutional repositories)",,Written reports,,,,More than 3 years,Community members/residents,Academic researchers,Government agencies (local),,,,,,,Media/journalists,,,,3,Insufficient funding,,,,,,,,Policy or legal limitations,,Insufficient time,,,,,
2026-01-28 10:18:03,2026-01-28 14:15:04,IP Address,100,14220,True,2026-01-28 14:15:05,R_1mGZeSRfq96WkAp,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slightly important,,,,,,,,,Not at all important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28 14:01:32,2026-01-28 14:15:19,IP Address,100,826,True,2026-01-28 14:15:19,R_6LeefkNHYbZUNGZ,anonymous,EN,Academic,,,,,,,Student,,,,1-3 years,,,,,,,,,,,,Other (please specify,Cultural preservation,Local,,,,Rapa Nui (Easter Island),The sustained adoption by the community after the project lifecycle,,,Very important,Extremely important,Moderately important,Extremely important,Slightly important,Very important,Moderately important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Extremely important,,,,,,,,,,,Active collaboration with community members throughout the project lifecycle,,,Collaborations continue beyond initial project,,,,,Community members' viewpoints and perspectives are integrated into the project,,Adoption after initial project,,Email updates and correspondence,"Informal/flexible check-ins (calls, messages as needed)",,In-person meetings or site visits,,,,,,"Data repositories (e.g., GitHub, institutional repositories)",Regular meetings/presentations,Written reports,Interactive workshops,,,2-3 years,Community members/residents,Academic researchers,Government agencies (local),Government agencies (state/federal),,Tribal/Indigenous communities,,,,,,,Outcomes which the community has ownership and can continue to work on after the project,4,Insufficient funding,,,Insufficient community buy-in,,,,,,Lack of technical capacity,,,,,,
2026-01-28 13:47:59,2026-01-28 14:19:14,IP Address,100,1874,True,2026-01-28 14:19:15,R_3dGQBSAcRgs9PnC,anonymous,EN,,,,Government,,,Non-Profit,,,,,4-7 years,Environmental conservation/restoration,,,Social/environmental justice,Education,,,,Biodiversity/wildlife,,,,,,Regional,,,,"Community gets the information they were initially seeking; enduring positive relationships are created ",Moderately important,Slightly important,Very important,Extremely important,Slightly important,Extremely important,Slightly important,Moderately important,Very important,Extremely important,Extremely important,Moderately important,Extremely important,Moderately important,Moderately important,Moderately important,Very important,Extremely important,Extremely important,,,,Trust is built between communities and institutions,,,,,,,Active collaboration with community members throughout the project lifecycle,,,,,,,,Community members' viewpoints and perspectives are integrated into the project,,,"Regular scheduled meetings (weekly, monthly, etc.)",Email updates and correspondence,,,In-person meetings or site visits,,,,,"Shared cloud storage (Google Drive, Dropbox, etc.)",,Regular meetings/presentations,,,,,More than 3 years,,Academic researchers,,Government agencies (state/federal),Non-profit organizations,Tribal/Indigenous communities,,Private sector/industry,,,,,,1,,,,Insufficient community buy-in,,Misaligned timelines between stakeholders,,,,Lack of technical capacity,,,,,,
2026-01-28 14:16:23,2026-01-28 14:35:25,IP Address,100,1142,True,2026-01-28 14:35:26,R_5COh0Qq5W47VcS9,anonymous,EN,Academic,,,,,,,,,,,1-3 years,Environmental conservation/restoration,,,,,,,,,,,Other (please specify,Fisheries,Local,Regional,,,"Hawaii, North Pacific ocean","A project that involves community members or stakeholders ",Very important,Very important,Moderately important,Extremely important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Extremely important,Very important,,,,Trust is built between communities and institutions,,,,,,,,,,,,,,There is clear communication on how data and outcomes will be used,,,"Community satisfaction ","Regular scheduled meetings (weekly, monthly, etc.)",Email updates and correspondence,,,In-person meetings or site visits,,,,,"Shared cloud storage (Google Drive, Dropbox, etc.)","Data repositories (e.g., GitHub, institutional repositories)",,Written reports,Interactive workshops,,,2-3 years,Community members/residents,,,Government agencies (state/federal),,,,,,,,,"Tool usage ",2,,,,,,,,,,,,,Other (please specify),"Overarching goal wasn’t action-oriented. Current action forward project is still in progress but biggest barrier will probably be buy-in ",,
2026-01-28 14:15:41,2026-01-28 15:13:16,IP Address,100,3454,True,2026-01-28 15:13:16,R_5LCbRjJF0r0UwYF,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-28 14:18:25,2026-01-28 15:17:50,IP Address,100,3564,True,2026-01-28 15:17:50,R_1LkZjP3FvbHat7H,anonymous,EN,Academic,,,,,,,,,,,1-3 years,,,Climate change/adaptation,,,,,,,,,,,,,,,,"Understands and caters to need of the users/community. Freely accessible to the users/community. Addresses gaps in underrepresented groups and communities where applicable. ",Very important,Very important,Moderately important,Extremely important,Very important,Extremely important,Moderately important,Very important,Very important,Moderately important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,Extremely important,,,,Trust is built between communities and institutions,,,,,,,Active collaboration with community members throughout the project lifecycle,,,Collaborations continue beyond initial project,,,,,,,community satisfaction,"Regular scheduled meetings (weekly, monthly, etc.)",Email updates and correspondence,,"Collaborative platforms (Slack, Teams, shared documents)",,,,Online portals/dashboards,,,"Data repositories (e.g., GitHub, institutional repositories)",,Written reports,,,,6 months to 1 year,Community members/residents,Academic researchers,,Government agencies (state/federal),,,,,,,,,"creation of new information (new datasets, cyberinfrastructure, papers)",3,Insufficient funding,Poor communication between stakeholders,Lack of trust among partners,,Data quality or availability issues,Misaligned timelines between stakeholders,Unclear or misaligned goals,,Policy or legal limitations,,,Competing priorities,,,"In-person workshops; we conducted an activity using the ""Quadrant Delphi"" method for different networks to come together and identify major challenges in network-of-networks science. This activity helped identify top challenges quickly, across different cultures and teams and helped build trust among all groups.",
2026-01-28 15:13:09,2026-01-28 15:19:33,IP Address,100,383,True,2026-01-28 15:19:33,R_1DtCiseUmx9vaH7,anonymous,EN,Academic,,,,,,,Student,,,,1-3 years,,,,Social/environmental justice,Education,,,Air quality,,,,,,Local,,,,"Santa Ana ",Work that benefits community partners. Any academic work should have agreed upon mutual benefits to community partners,Extremely important,Very important,Extremely important,Very important,Very important,Extremely important,Moderately important,Moderately important,Moderately important,Extremely important,Extremely important,Moderately important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Research directly influences policy or management decisions,,Community capacity for data skills increases,,,Findings are accessible and usable by non-scientists,,,,,,,,,,,,,,,Community capacity for data increases that way scientific research is not continuously gatekept,"Regular scheduled meetings (weekly, monthly, etc.)",Email updates and correspondence,,"Collaborative platforms (Slack, Teams, shared documents)",,,,,,"Shared cloud storage (Google Drive, Dropbox, etc.)",,Regular meetings/presentations,,,,,2-3 years,Community members/residents,Academic researchers,,Government agencies (state/federal),Non-profit organizations,,K-12 educators,,,,,,"Work that directly benefits the community (defined by them what that means) ",3,Insufficient funding,,,,,Misaligned timelines between stakeholders,,,,,Insufficient time,Competing priorities,,,,
2026-01-28 15:30:40,2026-01-28 15:40:03,IP Address,100,562,True,2026-01-28 15:40:03,R_15DseEC8ZO9ykw1,anonymous,EN,,,Consultant,,,,,,,,,1-3 years,Environmental conservation/restoration,,,,,,Water quality/management,,,,,,,,Regional,,,California + Oregon,"If the community uses the tools/model/results we built for them. ",Very important,Very important,Extremely important,Very important,Slightly important,Very important,Not at all important,Slightly important,Slightly important,Moderately important,Very important,Extremely important,Very important,Moderately important,Very important,Very important,Extremely important,Moderately important,Moderately important,,,Community capacity for data skills increases,,,,,,,,,Traditional/local knowledge is integrated with scientific data,,,,,Community members are compensated for their time and effort,,,,,"Regular scheduled meetings (weekly, monthly, etc.)",Email updates and correspondence,,,,,,,,"Shared cloud storage (Google Drive, Dropbox, etc.)","Data repositories (e.g., GitHub, institutional repositories)",,,,,,It varies by project,Community members/residents,Academic researchers,Government agencies (local),Government agencies (state/federal),,,,,,,,,,3,,,,Insufficient community buy-in,,,,,,,,,,,,
2026-01-28 15:38:27,2026-01-28 15:45:35,IP Address,100,428,True,2026-01-28 15:45:35,R_3sgPtTf0rGMQ3M5,anonymous,EN,Academic,,,,,,,,,,,1-3 years,Environmental conservation/restoration,,Climate change/adaptation,Social/environmental justice,,,,,,,,,,Local,Regional,,,"Orange County CA, San Diego County, LA County","Capacity building, strengthened relationships ",Moderately important,Moderately important,Extremely important,Extremely important,Slightly important,Extremely important,Not at all important,Slightly important,Moderately important,Moderately important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,Trust is built between communities and institutions,,Findings are accessible and usable by non-scientists,,,,,,,,,"Partnerships are equitable, collaborative, empowering, and address social inequalities",,,,,NA,Increased community capacity or resilience,,Email updates and correspondence,"Informal/flexible check-ins (calls, messages as needed)","Collaborative platforms (Slack, Teams, shared documents)",,,,,,"Shared cloud storage (Google Drive, Dropbox, etc.)",,Regular meetings/presentations,,Interactive workshops,,,1-2 years,Community members/residents,Academic researchers,,,Non-profit organizations,Tribal/Indigenous communities,,,,,,,"Sustained relationships with community, progress on collaborative projects ",4,Insufficient funding,,Lack of trust among partners,,,Misaligned timelines between stakeholders,,Power imbalances between stakeholders,,,,,,,My current work! The Wildland-Urban Interface Climate Action Network,Would love to know how this info would be used and if we can have access to it :) this info would be helpful for my work
2026-01-28 15:42:22,2026-01-28 15:55:55,IP Address,100,813,True,2026-01-28 15:55:56,R_6qFydZMAq621hip,anonymous,EN,,,,,,,Non-Profit,,,,,Over 15 years,Environmental conservation/restoration,,,,,,,,,,,,,,,,International,"Alaska, Pribilof Iskands, Yakutat, Kuskokwim River Watershed","The community receives more from the collaboration than our org. ",Extremely important,Extremely important,Very important,Extremely important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,Trust is built between communities and institutions,,,,,,,,Traditional/local knowledge is integrated with scientific data,,,,,Community members are compensated for their time and effort,,,,How successfully a community partnership is in moving from being allies to being ‘co-conspirators.’,"Regular scheduled meetings (weekly, monthly, etc.)",,,,,,,,,"Shared cloud storage (Google Drive, Dropbox, etc.)",,Regular meetings/presentations,,Interactive workshops,,,6 months to 1 year,Community members/residents,,Government agencies (local),Government agencies (state/federal),,Tribal/Indigenous communities,,,Consultants,,,,"Policy affected, trust developed, amplifying tribal voices. ",4,,,,,,Misaligned timelines between stakeholders,,,,,Insufficient time,Competing priorities,,,,
2026-01-28 15:50:11,2026-01-28 16:04:49,IP Address,100,877,True,2026-01-28 16:04:49,R_37xvtjDrGGhsQq6,anonymous,EN,,,,,,,,Student,,,,1-3 years,,,Climate change/adaptation,Social/environmental justice,Education,,Water quality/management,,Biodiversity/wildlife,,Disaster preparedness/response,,,Local,,,,"Malawi ",Co ownership with the community.,Extremely important,Moderately important,Very important,Very important,Extremely important,,,Moderately important,Moderately important,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,,,,,,,,,,,,Community maintains ownership of data and findings,Collaborations continue beyond initial project,"Partnerships are equitable, collaborative, empowering, and address social inequalities",,,,,,,,,"Informal/flexible check-ins (calls, messages as needed)",,In-person meetings or site visits,,,Online portals/dashboards,Email updates,,,,Written reports,Interactive workshops,,,6 months to 1 year,Community members/residents,Academic researchers,Government agencies (local),Government agencies (state/federal),Non-profit organizations,Tribal/Indigenous communities,K-12 educators,Private sector/industry,Consultants,Media/journalists,,,A project that means 90% of its primary aims.,2,,Poor communication between stakeholders,,,,Misaligned timelines between stakeholders,Unclear or misaligned goals,Power imbalances between stakeholders,Policy or legal limitations,Lack of technical capacity,,Competing priorities,,,,
2026-01-28 15:14:38,2026-01-28 16:31:22,IP Address,100,4604,True,2026-01-28 16:31:23,R_6SxCrG8z6sAYB0t,anonymous,EN,,,,,,,Non-Profit,,,,,4-7 years,Environmental conservation/restoration,,Climate change/adaptation,,,,,,Biodiversity/wildlife,,Disaster preparedness/response,,,,,,International,,"Understand with each stakeholder group what their key objectives and results are, while looking for areas of common interest between groups to form collective goals. Sometimes these are quantifiable and sometimes they are more qualitative. At the end of the project, we validate whether these goals were achieved.",Very important,Extremely important,Very important,Extremely important,Moderately important,Very important,Slightly important,Very important,Extremely important,Moderately important,Extremely important,Very important,Extremely important,Very important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,,,,Trust is built between communities and institutions,,,,,,,Active collaboration with community members throughout the project lifecycle,,,,,The community has meaningful say and control over the research process,,,,,Satisfaction of stakeholders from the process and results,"Regular scheduled meetings (weekly, monthly, etc.)",,,"Collaborative platforms (Slack, Teams, shared documents)",In-person meetings or site visits,,,Online portals/dashboards,,,"Data repositories (e.g., GitHub, institutional repositories)",,Written reports,Interactive workshops,,,1-2 years,Community members/residents,Academic researchers,Government agencies (local),Government agencies (state/federal),Non-profit organizations,Tribal/Indigenous communities,,,,,,,Clear needs of a community that we can create solutions for,3,,,,Insufficient community buy-in,,Misaligned timelines between stakeholders,,,,Lack of technical capacity,Insufficient time,,,,,
2026-01-28 15:22:23,2026-01-28 16:42:35,IP Address,100,4812,True,2026-01-28 16:42:35,R_3CTZjM8KF1Z0UlR,anonymous,EN,Academic,,,,,,,,,,,Less than 1 year,Environmental conservation/restoration,,,,,,,,Biodiversity/wildlife,,,,,,Regional,,,,,Moderately important,Moderately important,Slightly important,Very important,Slightly important,Extremely important,Moderately important,Moderately important,Very important,Moderately important,Very important,Very important,Extremely important,Very important,Extremely important,Slightly important,Moderately important,Very important,Very important,,,,,,Findings are accessible and usable by non-scientists,,,,,,,,,,,,,,,,,,,,In-person meetings or site visits,,,,,"Shared cloud storage (Google Drive, Dropbox, etc.)",,Regular meetings/presentations,,,,,It varies by project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
